id,sent_requests,user_group
535,67,Group1
536,67,Group2
537,66,Group2
538,66,Group2
539,66,Group1
540,66,Group1
541,66,Group1
542,65,Group1
543,65,Group2
544,65,Group2
545,65,Group1
546,65,Group1
547,64,Group2
548,64,Group1
549,64,Group1
550,64,Group2
551,63,Group2
552,63,Group1
553,63,Group1
554,63,Group1
555,63,Group1
556,62,Group2
557,62,Group2
558,61,Group2
559,61,Group1
560,61,Group1
561,61,Group1
562,61,Group1
563,60,Group2
564,60,Group1
565,60,Group1
566,60,Group2
567,60,Group2
568,59,Group2
569,59,Group1
570,59,Group1
571,59,Group1
572,59,Group1
573,59,Group1
574,59,Group1
575,58,Group1
576,58,Group1
577,58,Group1
578,58,Group1
579,58,Group1
580,57,Group2
581,57,Group1
582,57,Group2
583,57,Group1
584,57,Group2
585,56,Group1
586,56,Group1
587,56,Group1
588,56,Group1
589,56,Group1
590,55,Group1
591,55,Group2
592,55,Group1
593,55,Group1
594,55,Group1
595,55,Group1
596,54,Group1
597,54,Group1
598,54,Group2
599,54,Group1
600,54,Group1
601,54,Group2
602,53,Group2
603,53,Group1
604,53,Group1
605,53,Group2
606,53,Group1
607,52,Group1
608,52,Group2
609,52,Group2
610,52,Group1
611,52,Group1
612,52,Group1
613,52,Group1
614,52,Group1
615,51,Group1
616,51,Group1
617,51,Group1
618,51,Group1
619,51,Group1
620,51,Group1
621,50,Group1
622,50,Group1
623,50,Group1
624,50,Group1
625,50,Group1
626,49,Group2
627,48,Group2
628,48,Group1
629,48,Group1
630,48,Group1
631,48,Group1
632,48,Group1
633,47,Group1
634,47,Group1
635,46,Group1
636,46,Group1
637,46,Group1
638,46,Group2
639,46,Group1
640,46,Group2
641,46,Group1
642,46,Group2
643,45,Group1
644,45,Group2
645,45,Group2
646,45,Group1
647,45,Group1
648,45,Group1
649,45,Group2
650,44,Group1
651,44,Group1
652,44,Group1
653,44,Group1
654,44,Group1
655,44,Group1
656,44,Group1
657,43,Group1
658,43,Group1
659,43,Group1
660,43,Group1
661,43,Group1
662,43,Group1
